ID,"Módulo del Sistema","Perfil de Usuario",Funcionalidad,"Instrucción (Lo que se debe hacer)","Resultado (Lo que se espera)"
QA-396,"Gestion Configuraciones Validacion",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-397,"Gestion Configuraciones Validacion",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-398,"Gestion Configuraciones Validacion",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-399,"Gestion Configuraciones Validacion",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-400,"Gestion Configuraciones Validacion",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-401,"Gestion Configuraciones Validacion",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-402,"Gestion Configuraciones Validacion",Administrador,Desactivar,"Debe presionar 'Desactivar' para ejecutar la acción de delete. Se debe confirmar el mensaje: '¿Está seguro de que quiere desactivar esta Configuración?'","Para esperar que el sistema procese la solicitud correctamente."
QA-403,"Gestion Configuraciones Validacion",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-404,"Gestion Contratistas",Administrador,Limpiar,"Debe presionar 'Limpiar' para limpiar los campos","Para esperar que el formulario o los filtros vuelvan a su estado original."
QA-405,"Gestion Contratistas",Administrador,"Nueva Empresa","Debe presionar 'Nueva Empresa' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-406,"Gestion Contratistas",Administrador,"pivot_acredita ? 'bg-indigo-100 text-indigo-800 dark:bg-indigo-700 dark:text-indigo-100' : 'bg-gray-100 text-gray-800 dark:bg-gray-700 dark:text-gray-100' }}"">","Debe presionar 'pivot_acredita ? 'bg-indigo-100 text-indigo-800 dark:bg-indigo-700 dark:text-indigo-100' : 'bg-gray-100 text-gray-800 dark:bg-gray-700 dark:text-gray-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-407,"Gestion Contratistas",Administrador,"pivot_verifica ? 'bg-purple-100 text-purple-800 dark:bg-purple-700 dark:text-purple-100' : 'bg-gray-100 text-gray-800 dark:bg-gray-700 dark:text-gray-100' }}"">","Debe presionar 'pivot_verifica ? 'bg-purple-100 text-purple-800 dark:bg-purple-700 dark:text-purple-100' : 'bg-gray-100 text-gray-800 dark:bg-gray-700 dark:text-gray-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-408,"Gestion Contratistas",Administrador,"contratista->is_active ? 'desactivar' : 'activar' }} a ?"" class=""px-2 inline-flex text-xs leading-5 font-semibold rounded-full cursor-pointer "">","Debe presionar 'contratista->is_active ? 'desactivar' : 'activar' }} a ?"" class=""px-2 inline-flex text-xs leading-5 font-semibold rounded-full cursor-pointer "">' para cambiar el estado. Se debe confirmar el mensaje: '¿Está seguro de {{ $solicitud->contratista->is_active ?'","Para esperar que el registro se active o desactive según corresponda."
QA-409,"Gestion Contratistas",Administrador,"Editar Ficha","Debe presionar 'Editar Ficha' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-410,"Gestion Contratistas",Administrador,"Gestionar Vinculación","Debe presionar 'Gestionar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-411,"Gestion Contratistas",Administrador,"+ Agregar Vinculación","Debe presionar '+ Agregar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-412,"Gestion Contratistas",Administrador,"Asignar Nueva Principal","Debe presionar 'Asignar Nueva Principal' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-413,"Gestion Contratistas",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-414,"Gestion Contratistas",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-415,"Gestion Contratistas",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-416,"Gestion Contratistas",Administrador,Eliminar,"Debe presionar 'Eliminar' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '⚠️ ADVERTENCIA: ¿Estás seguro de que deseas eliminar esta vinculación?\n\nESTO ELIMINARÁ TAMBIÉN TODAS LAS VINCULACIONES DE LOS SUBCONTRATISTAS asociados a este contrato/lugar en toda la cadena (Sub, Sub-Sub, etc.). Esta acción NO se puede deshacer.'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-417,"Gestion Contratistas",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de iniciarGestionCargos","Para esperar que el sistema procese la solicitud correctamente."
QA-418,"Gestion Contratistas",Administrador,"Agregar Otra Fila","Debe presionar 'Agregar Otra Fila' para ejecutar la acción de agregarFilaVinculacion","Para esperar que el sistema procese la solicitud correctamente."
QA-419,"Gestion Contratistas",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-420,"Gestion Contratistas",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-421,"Gestion Contratistas",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-422,"Gestion Contratistas",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-423,"Gestion Contratistas",Administrador,"Aplicar Configuración","Debe presionar 'Aplicar Configuración' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-424,"Gestion Criterios Evaluacion",Administrador,"Crear Nuevo Criterio","Debe presionar 'Crear Nuevo Criterio' para abrir el formulario de creación","Para esperar que se despliegue la ventana para ingresar un nuevo registro."
QA-425,"Gestion Criterios Evaluacion",Administrador,Editar,"Debe presionar 'Editar' para abrir el formulario de edición","Para esperar que se carguen los datos del registro y se permita su modificación."
QA-426,"Gestion Criterios Evaluacion",Administrador,"is_active ? 'desactivar' : 'activar' }} este criterio: ''?"" class=""ms-2 "">","Debe presionar 'is_active ? 'desactivar' : 'activar' }} este criterio: ''?"" class=""ms-2 "">' para ejecutar la acción de confirmarAlternarEstado. Se debe confirmar el mensaje: '¿Está seguro de que quiere {{ $criterio->is_active ?'","Para esperar que el sistema procese la solicitud correctamente."
QA-427,"Gestion Criterios Evaluacion",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-428,"Gestion Criterios Evaluacion",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-429,"Gestion Dependencias",Administrador,"Crear Nuevo Lugar de Trabajo/Departamento","Debe presionar 'Crear Nuevo Lugar de Trabajo/Departamento' para abrir el formulario de creación","Para esperar que se despliegue la ventana para ingresar un nuevo registro."
QA-430,"Gestion Dependencias",Administrador,Editar,"Debe presionar 'Editar' para abrir el formulario de edición","Para esperar que se carguen los datos del registro y se permita su modificación."
QA-431,"Gestion Dependencias",Administrador,"estado ? 'desactivar' : 'activar' }} este Lugar de Trabajo/Departamento: ''?"" class=""ms-2 "">","Debe presionar 'estado ? 'desactivar' : 'activar' }} este Lugar de Trabajo/Departamento: ''?"" class=""ms-2 "">' para ejecutar la acción de confirmarAlternarEstado. Se debe confirmar el mensaje: '¿Está seguro de que quiere {{ $dependencia->estado ?'","Para esperar que el sistema procese la solicitud correctamente."
QA-432,"Gestion Dependencias",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-433,"Gestion Dependencias",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-434,"Gestion Estados Civiles",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-435,"Gestion Estados Civiles",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-436,"Gestion Estados Civiles",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-437,"Gestion Estados Civiles",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-438,"Gestion Estados Civiles",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-439,"Gestion Estados Civiles",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-440,"Gestion Estados Civiles",Administrador,Desactivar,"Debe presionar 'Desactivar' para ejecutar la acción de delete. Se debe confirmar el mensaje: '¿Estás seguro de DESACTIVAR este estado civil?'","Para esperar que el sistema procese la solicitud correctamente."
QA-441,"Gestion Estados Civiles",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-442,"Gestion Etnias",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-443,"Gestion Etnias",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-444,"Gestion Etnias",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-445,"Gestion Etnias",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-446,"Gestion Etnias",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-447,"Gestion Etnias",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-448,"Gestion Etnias",Administrador,Desactivar,"Debe presionar 'Desactivar' para ejecutar la acción de delete. Se debe confirmar el mensaje: '¿Estás seguro de DESACTIVAR esta etnia/pueblo originario?'","Para esperar que el sistema procese la solicitud correctamente."
QA-449,"Gestion Etnias",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-450,"Gestion Formatos Muestra",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-451,"Gestion Formatos Muestra",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-452,"Gestion Formatos Muestra",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-453,"Gestion Formatos Muestra",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-454,"Gestion Formatos Muestra",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-455,"Gestion Formatos Muestra",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-456,"Gestion Formatos Muestra",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-457,"Gestion Mandantes",Administrador,"CREAR NUEVA EMPRESA PRINCIPAL","Debe presionar 'CREAR NUEVA EMPRESA PRINCIPAL' para abrir el formulario de creación","Para esperar que se despliegue la ventana para ingresar un nuevo registro."
QA-458,"Gestion Mandantes",Administrador,Editar,"Debe presionar 'Editar' para abrir el formulario de edición","Para esperar que se carguen los datos del registro y se permita su modificación."
QA-459,"Gestion Mandantes",Administrador,"is_active ? 'desactivar' : 'activar' }} esta empresa mandante: ''?"" class=""ms-2 "">","Debe presionar 'is_active ? 'desactivar' : 'activar' }} esta empresa mandante: ''?"" class=""ms-2 "">' para ejecutar la acción de confirmarAlternarEstado. Se debe confirmar el mensaje: '¿Está seguro de que quiere {{ $mandante->is_active ?'","Para esperar que el sistema procese la solicitud correctamente."
QA-460,"Gestion Mandantes",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-461,"Gestion Mandantes",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-462,"Gestion Marcas Vehiculo",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-463,"Gestion Marcas Vehiculo",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-464,"Gestion Marcas Vehiculo",Administrador,"id }})"" class=""btn-sm "" title="""">","Debe presionar 'id }})"" class=""btn-sm "" title="""">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-465,"Gestion Marcas Vehiculo",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-466,"Gestion Marcas Vehiculo",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-467,"Gestion Mutualidades",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-468,"Gestion Mutualidades",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-469,"Gestion Mutualidades",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-470,"Gestion Mutualidades",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-471,"Gestion Mutualidades",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-472,"Gestion Mutualidades",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-473,"Gestion Mutualidades",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-474,"Gestion Nacionalidades",Administrador,"Crear Nueva Nacionalidad","Debe presionar 'Crear Nueva Nacionalidad' para abrir el formulario de creación","Para esperar que se despliegue la ventana para ingresar un nuevo registro."
QA-475,"Gestion Nacionalidades",Administrador,Editar,"Debe presionar 'Editar' para abrir el formulario de edición","Para esperar que se carguen los datos del registro y se permita su modificación."
QA-476,"Gestion Nacionalidades",Administrador,"is_active ? 'desactivar' : 'activar' }} esta nacionalidad: ''?"" class=""ms-2 "">","Debe presionar 'is_active ? 'desactivar' : 'activar' }} esta nacionalidad: ''?"" class=""ms-2 "">' para ejecutar la acción de confirmarAlternarEstado. Se debe confirmar el mensaje: '¿Está seguro de que quiere {{ $nacionalidad->is_active ?'","Para esperar que el sistema procese la solicitud correctamente."
QA-477,"Gestion Nacionalidades",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-478,"Gestion Nacionalidades",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-479,"Gestion Niveles Educacionales",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-480,"Gestion Niveles Educacionales",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-481,"Gestion Niveles Educacionales",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-482,"Gestion Niveles Educacionales",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-483,"Gestion Niveles Educacionales",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-484,"Gestion Niveles Educacionales",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-485,"Gestion Niveles Educacionales",Administrador,Desactivar,"Debe presionar 'Desactivar' para ejecutar la acción de delete. Se debe confirmar el mensaje: '¿Estás seguro de DESACTIVAR este nivel educacional?'","Para esperar que el sistema procese la solicitud correctamente."
QA-486,"Gestion Niveles Educacionales",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-487,"Gestion Observaciones Documento",Administrador,"Crear Nueva Observación","Debe presionar 'Crear Nueva Observación' para abrir el formulario de creación","Para esperar que se despliegue la ventana para ingresar un nuevo registro."
QA-488,"Gestion Observaciones Documento",Administrador,Editar,"Debe presionar 'Editar' para abrir el formulario de edición","Para esperar que se carguen los datos del registro y se permita su modificación."
QA-489,"Gestion Observaciones Documento",Administrador,"is_active ? 'desactivar' : 'activar' }} esta observación: ''?"" class=""ms-2 "">","Debe presionar 'is_active ? 'desactivar' : 'activar' }} esta observación: ''?"" class=""ms-2 "">' para ejecutar la acción de confirmarAlternarEstado. Se debe confirmar el mensaje: '¿Está seguro de que quiere {{ $observacion->is_active ?'","Para esperar que el sistema procese la solicitud correctamente."
QA-490,"Gestion Observaciones Documento",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-491,"Gestion Observaciones Documento",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-492,"Gestion Popups",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para abrir el formulario de creación","Para esperar que se despliegue la ventana para ingresar un nuevo registro."
QA-493,"Gestion Popups",Administrador,"Ver registro de aceptaciones","Debe presionar 'Ver registro de aceptaciones' para visualizar los detalles","Para esperar que se muestre toda la información detallada del recurso."
QA-494,"Gestion Popups",Administrador,"is_active ? '¿Desactivar este popup?' : '¿Activar este popup?' }}"" class=""inline-flex items-center px-2 py-1 rounded text-xs font-medium transition-colors "">","Debe presionar 'is_active ? '¿Desactivar este popup?' : '¿Activar este popup?' }}"" class=""inline-flex items-center px-2 py-1 rounded text-xs font-medium transition-colors "">' para ejecutar la acción de confirmarAlternarEstado. Se debe confirmar el mensaje: '{{ $popup->is_active ?'","Para esperar que el sistema procese la solicitud correctamente."
QA-495,"Gestion Popups",Administrador,Editar,"Debe presionar 'Editar' para abrir el formulario de edición","Para esperar que se carguen los datos del registro y se permita su modificación."
QA-496,"Gestion Popups",Administrador,Eliminar,"Debe presionar 'Eliminar' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de eliminar este popup? Esta acción no se puede deshacer.'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-497,"Gestion Popups",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-498,"Gestion Popups",Administrador,"Eliminar archivo","Debe presionar 'Eliminar archivo' para solicitar la eliminación del registro","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-499,"Gestion Popups",Administrador,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-500,"Gestion Popups",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-501,"Gestion Popups",Administrador,Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-502,"Gestion Popups",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-503,"Gestion Rangos Cantidad Trabajadores",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-504,"Gestion Rangos Cantidad Trabajadores",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-505,"Gestion Rangos Cantidad Trabajadores",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-506,"Gestion Rangos Cantidad Trabajadores",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-507,"Gestion Rangos Cantidad Trabajadores",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-508,"Gestion Rangos Cantidad Trabajadores",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-509,"Gestion Rangos Cantidad Trabajadores",Administrador,Desactivar,"Debe presionar 'Desactivar' para ejecutar la acción de delete. Se debe confirmar el mensaje: '¿Estás seguro de que quieres desactivar este rango?'","Para esperar que el sistema procese la solicitud correctamente."
QA-510,"Gestion Rangos Cantidad Trabajadores",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-511,"Gestion Regiones",Administrador,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de create","Para esperar que el sistema procese la solicitud correctamente."
QA-512,"Gestion Regiones",Administrador,"ID @if ($sortBy === 'id')","Debe presionar 'ID @if ($sortBy === 'id')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-513,"Gestion Regiones",Administrador,"Nombre @if ($sortBy === 'nombre')","Debe presionar 'Nombre @if ($sortBy === 'nombre')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-514,"Gestion Regiones",Administrador,"Estado @if ($sortBy === 'is_active')","Debe presionar 'Estado @if ($sortBy === 'is_active')' para ordenar la columna","Para esperar que el listado se reordene alfabéticamente o por fecha."
QA-515,"Gestion Regiones",Administrador,"is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">","Debe presionar 'is_active ? 'bg-green-100 text-green-800 dark:bg-green-700 dark:text-green-100' : 'bg-red-100 text-red-800 dark:bg-red-700 dark:text-red-100' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-516,"Gestion Regiones",Administrador,Editar,"Debe presionar 'Editar' para ejecutar la acción de edit","Para esperar que el sistema procese la solicitud correctamente."
QA-517,"Gestion Regiones",Administrador,Desactivar,"Debe presionar 'Desactivar' para ejecutar la acción de delete. Se debe confirmar el mensaje: '¿Estás seguro de desactivar esta región? Esto podría afectar a comunas asociadas.'","Para esperar que el sistema procese la solicitud correctamente."
QA-518,"Gestion Regiones",Administrador,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de closeModal","Para esperar que el sistema procese la solicitud correctamente."
QA-519,"Gestion Reglas Documentales",Administrador,"Descargar plantilla Excel para importar","Debe presionar 'Descargar plantilla Excel para importar' para descargar el archivo","Para esperar que se inicie la descarga del documento en el computador."
